category,service,portal,online_available,appointment_required,office_visit_required,vehicle_inspection_required,key_forms,key_docs,eligibility_or_window,fee_or_fee_note,validity_or_timeline
licence,Learner licence,Sarathi,yes,no,usually no,no,"Form 2, Form 1 or 1A","age proof; address proof; photos if asked","18+ regular; 16+ certain gearless cases; 20+ transport","Rs 150 learner licence + Rs 50 test per class","Learner licence valid for 6 months"
licence,Permanent driving licence,Sarathi,yes,yes,yes,no,"Form 4, Form 5 if transport","learner licence; age proof; address proof; photos","Apply after 30 days from learner licence","Rs 300 driving test + Rs 200 issue of DL","Issued after passing test and approval"
licence,DL renewal,Sarathi,yes,sometimes,sometimes,no,"Form 9, Form 1A","current DL; photos; NOC if other state record","Apply from 30 days before expiry; fresh formalities after 5 years expiry","Rs 200 normal; Rs 300 after grace; extra late fee may apply","Effective from expiry if within grace; otherwise from application date"
licence,Duplicate DL,Sarathi,yes,no,sometimes,no,"LLD or duplicate DL form","old DL if damaged; police report if lost; photos","Lost, torn, defaced, or photo replacement cases","Maharashtra page shows Rs 214; confirm portal total","Depends on verification and dispatch"
licence,DL address change,Sarathi,yes,no,sometimes,no,"Sarathi service selection","existing DL; new address proof","Use after address change","Rs 200","Depends on approval and dispatch"
licence,International Driving Permit,Sarathi,partial,yes,yes,no,"Form 4A, Form 1A","valid Indian DL; passport; visa if applicable; travel proof; photos","Applicant must hold valid Indian DL and be resident of India","Rs 1000","Usually valid for 1 year"
vehicle,New vehicle registration,Vahan or dealer flow,partial,no,yes,yes,"Form 20, Form 21, Form 22 or 22A, Form 34 if financed","invoice; temporary registration; insurance; address proof; PAN or Form 60/61; tax proof","Apply soon after purchase / temporary registration period","Fee depends on class; tax separate; smart card extra may apply","Registration after verification and inspection"
vehicle,Transfer of ownership,Vahan,yes,sometimes,sometimes,no,"Form 29, Form 30, Form 28 if other jurisdiction","RC; insurance; PUC; PAN or Form 60; address proof; tax proof","14 days same jurisdiction; 30 days other jurisdiction per Maharashtra","Half of registration fee","Depends on verification and record update"
vehicle,NOC,Vahan,yes,sometimes,sometimes,no,"Form 28","RC copy; insurance copy; tax proof; PUC; chassis print; owner identification","Needed before sale / transfer outside jurisdiction","Rule 81 fee; confirm on portal","Depends on clearance checks"
vehicle,RC renewal,Vahan,yes,yes,often yes,sometimes,"Form 25","RC; insurance; PUC; tax proof; fitness if applicable; PAN or Form 60/61","Apply within 60 days before RC expiry","Registration fee by class; smart card and late fee may apply","Depends on appointment and verification"
vehicle,Duplicate RC,Vahan,yes,no,sometimes,no,"Form 26","police report; affidavit; insurance; PUC; address proof; PAN or Form 60/61; chassis print","For lost, destroyed, or torn RC","Half of registration fee","Depends on verification and printing"
vehicle,RC address change,Vahan,yes,no,sometimes,no,"Form 33","RC; new address proof; insurance; PUC; financier NOC if hypothecated","Apply within 14 days of address change","Half of registration fee; smart card fee may apply","Depends on approval"
vehicle,Hypothecation addition,Vahan,yes,no,sometimes,no,"Form 34","RC; financier and owner signatures; insurance; PUC; PAN or Form 60/61","Used when loan / finance entry needs to be added","Rs 500 motorcycle; Rs 1500 LMV; Rs 3000 medium-heavy","Depends on record update"
vehicle,Hypothecation removal,Vahan,yes,no,sometimes,no,"Form 35","RC; financier due-clearance or NOC; insurance; PUC; PAN or Form 60/61","Used after loan closure","No separate cancellation fee per central fee note","Depends on record update / fresh RC update"
vehicle,Fitness certificate,Vahan,yes,yes,yes,yes,"Form 38, Form 38A","vehicle details; insurance; originals; portal uploads","Mainly transport vehicles","Test fee Rs 200 to Rs 600 manual by class + Rs 200 certificate fee","Inspection appointment required"
permit,Permit services,Permit portal,yes,varies,varies,varies,"Form 45, Form 46, Form 48 and permit-specific forms","vehicle papers; insurance; tax; permit-specific route or class papers","Depends on permit type and vehicle category","Fee varies by permit type","Renewal, duplicate, replacement, and transfer differ by permit type"
tax,Motor vehicle tax,Vahan,yes,no,usually no,no,"Portal-driven","vehicle details and existing registration record","Depends on vehicle class and tax slab","System-calculated; not a flat amount","Receipt generated after payment"
puc,PUC compliance,Authorized PUC workflow,yes,no,no,no,"Form 59 certificate format on the back end","vehicle emission test","Needed for many RTO service journeys","Rate depends on PUC center / category","Carry valid PUC before transfer, NOC, RC renewal, or hypothecation cases"
